,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
0,ABB,Junior Data Analyst,4.0,Bengaluru,325236.0,10000+ Employees,1883,Public,Electronics Manufacturing,Manufacturing,3.7,3.6,4.0,3.5,3.9
1,Beinex,Trainee in Data Science,3.9,Cochin,280977.0,201 to 500 Employees,2017,Private,Information Technology Support Services,Information Technology,3.8,3.6,3.9,3.9,3.5
2,Oracle,Data Scientist,3.8,Bengaluru,709930.0,10000+ Employees,1977,Public,Enterprise Software & Network Solutions,Information Technology,3.6,3.5,3.7,3.5,4.0
3,PhonePe,Data Scientist,4.1,Bengaluru,1024695.0,5001 to 10000 Employees,2015,Private,Internet & Web Services,Information Technology,4.0,4.2,4.1,3.7,3.8
4,BigShyft,Data Scientist,3.9,Bengaluru,2000000.0,1 to 50 Employees,2018,Private,HR Consulting,Human Resources & Staffing,3.7,3.8,3.5,3.3,3.1
5,Findem,Researcher - Data Operations Intern,4.3,Remote,9000.0,51 to 200 Employees,2019,Private,Internet & Web Services,Information Technology,4.2,4.3,4.1,4.2,4.0
6,News Corp,Data Analyst,3.6,Bengaluru,522206.0,10000+ Employees,2013,Public,Publishing,Media & Communication,3.5,3.4,3.3,3.2,3.5
7,"Medpace, Inc.",Clinical Data Coder,3.4,Thāne,579224.0,5001 to 10000 Employees,1992,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.3,3.0,3.2,3.0,3.2
8,Microsoft,Data Annotation Specialist,4.2,Hyderābād,317979.0,10000+ Employees,1975,Public,Computer Hardware Development,Information Technology,4.0,4.1,4.2,3.8,4.1
9,TVS Supply Chain Solutions,Data Entry Operator,3.4,Bengaluru,255288.0,501 to 1000 Employees,--,Private,Shipping & Trucking,Transportation & Logistics,3.2,2.9,3.0,3.0,3.0
10,Nissan,Data Engineer I,3.9,Thiruvananthapuram,443415.0,10000+ Employees,1933,Public,Transportation Equipment Manufacturing,Manufacturing,3.6,3.7,3.7,3.5,3.4
11,MathCo,Associate - Data Science,3.5,Bengaluru,876519.0,1001 to 5000 Employees,2016,Private,Business Consulting,Management & Consulting,3.6,3.4,3.6,3.2,2.9
12,Amex,Analyst - Data Analytics,4.2,Gurgaon,482311.0,10000+ Employees,1850,Public,Financial Transaction Processing,Finance,3.8,4.0,4.2,3.8,4.1
13,KPMG,Digital Trust S&G-Data Privacy and Ethics Analyst,3.8,Gurgaon,495831.0,10000+ Employees,1987,Private,Business Consulting,Management & Consulting,4.0,3.3,3.7,3.5,3.0
14,Infosys,Healthcare Data Analyst,3.8,Chennai,533713.0,10000+ Employees,1981,Public,Information Technology Support Services,Information Technology,3.8,3.0,4.0,3.5,3.7
15,Alcon,Data Analyst - Digital Health,3.8,Bengaluru,784161.0,10000+ Employees,1945,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.4,3.9,3.6,3.3,3.5
16,Deutsche Bank,Data Scientist,4.0,Pune,595940.0,10000+ Employees,1870,Public,Banking & Lending,Finance,3.9,3.8,4.1,3.7,4.1
